EnthalpyFus,JR Tm /K,CRC Tm /K
4.97,164.3,159.95
5.95,164.95999999999998,180.15
25.88,423.2000000000001,345.15
25.88,423.2000000000001,515.65
20.0,241.69,213.15
24.5,373.0700000000001,390.65
19.32,350.53000000000003,350.15
23.41,322.06000000000006,412.65
14.94,314.64,276.15
14.94,314.64,279.15
14.94,314.64,322.15
13.54,238.81,275.25
17.73,300.01,316.95
19.74,410.42,401.15
21.69,442.3,436.15
9.78,280.85,310.15
24.95,454.68,478.65
22.47,403.25,405.15
22.47,403.25,436.15
23.51,386.62000000000006,369.65
19.32,325.42,281.15
24.42,445.96,444.65
15.92,239.78,233.15
3.88,159.8,174.14999999999998
4.64,283.86,316.45
7.97,220.62,258.15
4.45,205.62,262.65
5.18,126.66,115.87999999999997
8.88,124.38,198.85
6.86,206.77,194.95
30.52,323.03000000000003,311.15
9.38,183.06,185.03
9.38,183.06,185.75
7.17,267.78,284.15
1.52,203.45,203.72
8.89,175.31,219.48
8.89,175.31,155.14999999999998
8.89,175.31,139.48
8.89,175.31,139.24999999999997
8.65,192.83,154.64999999999998
7.91,159.81,132.23
21.34,259.26,369.95
30.33,426.52,394.75
13.23,228.13,208.15
9.47,253.53,254.85
20.24,236.96,374.85
13.81,225.65,210.35
19.28,327.91,458.65
11.65,193.61,160.09999999999997
12.02,161.19,170.04999999999998
13.62,211.12,227.15
14.26,141.84,286.95
9.43,149.92000000000002,182.01
25.21,264.58,283.45
14.06,146.92000000000002,158.14999999999998
9.26,177.26,135.78999999999996
9.15,228.03,216.0
17.96,364.38000000000005,365.15
31.0,436.9000000000001,319.15
24.05,326.06,341.15
7.56,142.46,191.45
